tweet_id,retweet_count,like_count
892420643555336193,7121,34273
892177421306343426,5363,29713
891815181378084864,3529,22369
891689557279858688,7321,37458
891327558926688256,7868,35787
891087950875897856,2643,18066
890971913173991426,1693,10513
890729181411237888,16008,57643
890609185150312448,3669,24877
890240255349198849,6184,28351
890006608113172480,6238,27381
889880896479866881,4225,24908
889665388333682689,8478,42652
889638837579907072,3771,23983
889531135344209921,1905,13528
889278841981685760,4508,22418
888917238123831296,3816,25983
888804989199671297,3594,22782
888554962724278272,2918,17583
888554962724278272,2918,17583
888078434458587136,2945,19409
887705289381826560,4589,26985
887517139158093824,9973,41322
887473957103951883,15232,61029
887343217045368832,8933,29987
887101392804085760,5062,27350
886983233522544640,6436,30805
886736880519319552,2675,10628
886680336477933568,3796,20015
886366144734445568,2674,18812
886267009285017600,3,104
886258384151887873,5363,24896
886054160059072513,93,0
885984800019947520,5695,28992
885528943205470208,5414,32018
885518971528720385,3161,18255
885311592912609280,15673,0
885167619883638784,3712,19501
884925521741709313,15252,68283
884876753390489601,4729,24736
884562892145688576,3968,21622
884441805382717440,4853,24203
884247878851493888,17147,64214
884162670584377345,2525,18187
883838122936631299,2904,19462
883482846933004288,8380,40799
883360690899218434,3121,20222
883117836046086144,5613,32986
882992080364220416,3279,21270
882762694511734784,4145,25137
882627270321602560,5147,24952
882268110199369728,9799,39735
882045870035918850,4132,26121
881906580714921986,2890,21736
881666595344535552,9082,45173
881633300179243008,8,113
881536004380872706,13590,44031
881268444196462592,4541,20784
880935762899988482,2369,15271
880872448815771648,3248,19000
880465832366813184,5290,25355
880221127280381952,3527,24005
880095782870896641,3705,24675
879862464715927552,2966,19975
879674319642796034,9,282
879492040517615616,2667,21008
879415818425184262,38010,94145
879376492567855104,2679,15053
879130579576475649,5812,0
879050749262655488,4008,20105
879008229531029506,2278,17023
878776093423087618,3492,17378
878604707211726852,6008,26813
878404777348136964,1087,0
878316110768087041,5615,0
878281511006478336,1087,6887
878057613040115712,5812,37652
877736472329191424,16048,70330
877611172832227328,70,0
877556246731214848,3213,20226
877316821321428993,4417,24511
877201837425926144,4701,24192
876838120628539392,2844,18469
876537666061221889,4038,21335
876484053909872640,2029,16788
876120275196170240,3958,25039
875747767867523072,3629,22455
875144289856114688,4201,19664
875097192612077568,5199,24586
875021211251597312,4030,22883
874680097055178752,3980,24941
874434818259525634,12388,0
874296783580663808,3527,23315
874057562936811520,3425,20409
874012996292530176,8696,30548
874012996292530176,8696,30548
873580283840344065,3381,21720
873337748698140672,1343,0
873213775632977920,1343,6404
872967104147763200,4620,24401
872820683541237760,3210,13233
872820683541237760,3210,13233
872620804844003328,3110,18609
872486979161796608,7821,36615
872486979161796608,7821,36615
872122724285648897,6950,30670
871879754684805121,9375,33595
871762521631449091,3013,18148
871515927908634625,2986,18154
871166179821445120,4951,0
871102520638267392,4760,18817
871032628920680449,3276,20456
870804317367881728,5341,30236
870726314365509632,3,106
870656317836468226,2233,11030
870374049280663552,23098,75033
870308999962521604,3597,19768
870063196459192321,7182,32841
870063196459192321,7182,32841
869772420881756160,8806,38512
869702957897576449,5461,25398
869596645499047938,2673,14407
869227993411051520,3247,18388
868880397819494401,12451,58794
868639477480148993,1776,0
868622495443632128,4554,23984
868552278524837888,1776,9106
867900495410671616,3620,21897
867774946302451713,6333,30648
867421006826221569,2148,14542
867072653475098625,102,0
867051520902168576,6875,29109
867051520902168576,6875,29109
866720684873056260,4175,18083
866686824827068416,3002,17383
